"state_name","lg_dist_code","district_name","micro","small","medium","total","last_updated"
"UTTARAKHAND","52","PAURI GARHWAL","7088","113","15","7216","2023-08-27"
"UTTARAKHAND","53","PITHORAGARH","5360","55","NA","5415","2023-08-27"
"UTTARAKHAND","54","RUDRA PRAYAG","2925","16","NA","2941","2023-08-27"
"UTTARAKHAND","55","TEHRI GARHWAL","6269","71","6","6346","2023-08-27"
"UTTARAKHAND","56","UDHAM SINGH NAGAR","31753","1484","110","33347","2023-08-27"
"UTTARAKHAND","57","UTTARKASHI","3784","22","1","3807","2023-08-27"
"WEST BENGAL","664","ALIPURDUAR","10352","184","12","10548","2023-08-27"
"WEST BENGAL","305","BANKURA","15236","381","18","15635","2023-08-27"
"WEST BENGAL","307","BIRBHUM","20109","553","28","20690","2023-08-27"
"WEST BENGAL","308","COOCHBEHAR","16672","340","12","17024","2023-08-27"
"WEST BENGAL","310","DAKSHIN DINAJPUR","9616","221","8","9845","2023-08-27"
"WEST BENGAL","309","DARJEELING","21935","1248","86","23269","2023-08-27"
"WEST BENGAL","317","EAST MEDINIPUR","44429","1332","55","45816","2023-08-27"
"WEST BENGAL","312","HOOGHLY","39757","1109","69","40935","2023-08-27"
"WEST BENGAL","313","HOWRAH","44858","2088","154","47100","2023-08-27"
"WEST BENGAL","314","JALPAIGURI","17991","680","36","18707","2023-08-27"
"WEST BENGAL","703","Jhargram","4397","76","NA","4473","2023-08-27"
"WEST BENGAL","702","KALIMPONG","2161","30","NA","2191","2023-08-27"
"WEST BENGAL","315","KOLKOTA","74804","9360","1473","85637","2023-08-27"
"WEST BENGAL","316","MALDA","24099","540","19","24658","2023-08-27"
"WEST BENGAL","319","MURSHIDABAD","41201","922","46","42169","2023-08-27"
"WEST BENGAL","320","NADIA","31534","669","20","32223","2023-08-27"
"WEST BENGAL","303","NORTH 24 PRAGANAS","84407","2298","163","86868","2023-08-27"
"WEST BENGAL","704","PASCHIM BARDHAMAN","26653","1087","105","27845","2023-08-27"
"WEST BENGAL","306","PURBA BARDHAMAN","32809","1096","61","33966","2023-08-27"
"WEST BENGAL","321","PURULIA","11198","273","8","11479","2023-08-27"
"WEST BENGAL","304","SOUTH 24 PRAGANAS","51774","1186","66","53026","2023-08-27"
"WEST BENGAL","311","UTTAR DINAJPUR","17168","618","17","17803","2023-08-27"
"WEST BENGAL","318","WEST MEDINIPUR","31189","830","42","32061","2023-08-27"
"ANDAMAN AND NICOBAR ISLANDS","603","NIKOBARS","295","2","NA","297","2023-08-27"
"ANDAMAN AND NICOBAR ISLANDS","632","NORTH AND MIDDLE ANDAMAN","1549","12","NA","1561","2023-08-27"
"ANDAMAN AND NICOBAR ISLANDS","602","SOUTH ANDAMANS","8006","210","10","8226","2023-08-27"
"CHANDIGARH","44","CHANDIGARH","28556","1587","178","30321","2023-08-27"
"DELHI","77","CENTRAL","29680","3836","499","34015","2023-08-27"
"DELHI","78","EAST","50288","3220","299","53807","2023-08-27"
"DELHI","79","NEW DELHI","31756","2492","393","34641","2023-08-27"
"DELHI","80","NORTH","29562","3155","357","33074","2023-08-27"
"DELHI","81","NORTH EAST","31442","1066","89","32597","2023-08-27"
"DELHI","82","NORTH WEST","85832","6289","752","92873","2023-08-27"
"DELHI","671","SHAHDARA","6958","374","28","7360","2023-08-27"
"DELHI","83","SOUTH ","52571","3960","593","57124","2023-08-27"
"DELHI","670","SOUTH EAST","14080","705","104","14889","2023-08-27"
"DELHI","84","SOUTH WEST","47441","2801","336","50578","2023-08-27"
"DELHI","85","WEST","62160","3687","371","66218","2023-08-27"
"JAMMU AND KASHMIR","1","ANANTNAG","29876","295","12","30183","2023-08-27"
"JAMMU AND KASHMIR","623","BANDIPORA","7556","23","1","7580","2023-08-27"
"JAMMU AND KASHMIR","3","BARAMULLA","21119","157","5","21281","2023-08-27"
"JAMMU AND KASHMIR","2","BUDGAM","27543","143","4","27690","2023-08-27"
"JAMMU AND KASHMIR","4","DODA","8080","39","1","8120","2023-08-27"
"JAMMU AND KASHMIR","626","GANDERBAL","13766","41","3","13810","2023-08-27"
"JAMMU AND KASHMIR","5","JAMMU","34325","1367","97","35789","2023-08-27"
"JAMMU AND KASHMIR","7","KATHUA","12099","220","19","12338","2023-08-27"
"JAMMU AND KASHMIR","620","KISHTWAR","5085","25","NA","5110","2023-08-27"
"JAMMU AND KASHMIR","622","KULGAM","10298","53","4","10355","2023-08-27"
"JAMMU AND KASHMIR","8","KUPWARA","11350","54","4","11408","2023-08-27"
"JAMMU AND KASHMIR","10","POONCH","5611","53","NA","5664","2023-08-27"
"JAMMU AND KASHMIR","11","PULWAMA","21790","256","17","22063","2023-08-27"
"JAMMU AND KASHMIR","12","RAJOURI","7544","94","1","7639","2023-08-27"
"JAMMU AND KASHMIR","621","RAMBAN","6117","36","NA","6153","2023-08-27"
"JAMMU AND KASHMIR","627","REASI","4809","41","NA","4850","2023-08-27"
"JAMMU AND KASHMIR","624","SAMBA","6911","244","38","7193","2023-08-27"
"JAMMU AND KASHMIR","625","SHOPIAN","7596","79","3","7678","2023-08-27"
"JAMMU AND KASHMIR","13","SRINAGAR","42666","806","53","43525","2023-08-27"
"JAMMU AND KASHMIR","14","UDHAMPUR","8066","119","3","8188","2023-08-27"
"LADAKH","6","KARGIL","2684","28","NA","2712","2023-08-27"
"LADAKH","9","LEH LADAKH","5314","73","2","5389","2023-08-27"
"LAKSHADWEEP","553","LAKSHADWEEP DISTRICT","672","NA","NA","672","2023-08-27"
"PUDUCHERRY","598","KARAIKAL","4439","83","4","4526","2023-08-27"
"PUDUCHERRY","599","MAHE","328","26","3","357","2023-08-27"
"PUDUCHERRY","600","PONDICHERRY","22538","649","62","23249","2023-08-27"
"PUDUCHERRY","601","YANAM","352","27","7","386","2023-08-27"
